ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,name,addl,notice,peer,source
1762168637.421166,CkP1CE21Ve5XOfJhx7,192.168.7.101,52279,3.164.68.28,443,truncated_tcp_payload,-,F,zeek,TCP
1762168637.421346,CJmLSW2A12bpYrvYrd,192.168.7.101,63651,3.164.68.28,443,truncated_tcp_payload,-,F,zeek,TCP
1762168637.637701,CG9A892RFoIFsTek19,192.168.7.101,64687,3.164.68.28,443,truncated_tcp_payload,-,F,zeek,TCP
1762168637.637719,CRB4gT1RJ196oe18Sa,192.168.7.101,53750,3.164.68.28,443,truncated_tcp_payload,-,F,zeek,TCP
1762168637.645347,ChWGhE0FDGfdvcftd,192.168.7.101,52953,3.164.68.28,443,truncated_tcp_payload,-,F,zeek,TCP
1762168658.241203,COcKew48j7NKfg0FT,192.168.7.101,53071,2.19.205.49,443,window_recision,-,F,zeek,-
1762168658.309976,ClvUrK14m8dZARMpG,192.168.7.101,51752,2.19.205.49,443,window_recision,-,F,zeek,-
1762168668.212968,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762168670.494484,CbGvCL1OYSB6uD8Esc,192.168.7.101,61270,18.165.122.11,443,truncated_tcp_payload,-,F,zeek,TCP
1762168710.131604,CbhKjOCF9WMGrVjTd,192.168.7.101,49561,13.89.179.10,443,truncated_tcp_payload,-,F,zeek,TCP
1762168718.680220,CTUrRe3KqkHkoW4Oel,192.168.7.101,63789,2.19.205.82,443,window_recision,-,F,zeek,-
1762168718.908927,C1J2Rw2QUfxV64xlrb,192.168.7.101,60303,184.51.252.52,443,window_recision,-,F,zeek,-
1762168774.438027,Cc7OeBQfhwJZWeNV4,192.168.7.101,54217,142.250.185.78,443,truncated_tcp_payload,-,F,zeek,TCP
1762168778.224111,CeVQZ814FJo2urplI6,192.168.7.101,50730,74.125.105.202,443,truncated_tcp_payload,-,F,zeek,TCP
1762168784.205994,C5xWU04SI33hLnWLsh,192.168.7.101,56502,173.194.183.230,443,truncated_tcp_payload,-,F,zeek,TCP
1762168785.134379,CBvSao4M2PJzaNu0P1,192.168.7.101,53718,173.194.183.230,443,truncated_tcp_payload,-,F,zeek,TCP
1762168787.683728,C8jV6U2wDet41bdGH,192.168.7.101,54859,142.250.186.150,443,truncated_tcp_payload,-,F,zeek,TCP
1762168800.229015,C3gUpS2GvruIENZ8xc,192.168.7.101,53409,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762169114.338950,C2NHGo3zPsLpMZn9Q4,192.168.7.101,61271,108.157.188.86,443,truncated_tcp_payload,-,F,zeek,TCP
1762169115.710877,CCSk7M3WySQPk6Rft,192.168.7.101,61272,18.66.122.118,443,truncated_tcp_payload,-,F,zeek,TCP
1762169147.550191,COaCBL2zrM11Kvweqd,192.168.7.101,55594,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762169279.141331,CRHlTs1en7EkYO4y6,192.168.7.101,53774,91.105.192.100,443,TCP_ack_underflow_or_misorder,-,F,zeek,TCP
1762169419.222355,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762169554.980637,CiXGM74mQQlXgL8HUd,192.168.7.101,62365,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762169978.500362,CHAEyQ5EjVSEZ4fni,192.168.7.101,50644,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762170078.674041,CbzPWa1tT8WeBc0qjg,192.168.7.101,53925,104.84.152.16,443,window_recision,-,F,zeek,-
1762170078.674443,C55RZh1SwEqtCe603a,192.168.7.101,49288,104.84.152.16,443,window_recision,-,F,zeek,-
1762170084.208276,CZ2Udm1iFeVLVhrzw5,192.168.7.101,64971,64.233.162.194,443,truncated_tcp_payload,-,F,zeek,TCP
1762170139.221962,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762170578.543631,CHAEyQ5EjVSEZ4fni,192.168.7.101,50644,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762170845.688532,CUKYFr4AplrkNKdxu9,192.168.7.101,57717,2.23.167.104,443,truncated_tcp_payload,-,F,zeek,TCP
1762170979.230187,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762171127.743968,Cc8Ad54OqEK2QxWXSe,192.168.7.205,47568,213.180.204.183,80,truncated_tcp_payload,-,F,zeek,TCP
1762171130.684729,CImLJx2vEu2HZ1EWh,192.168.7.101,65413,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762171135.524295,C6EMFt2FVPVOixKNQ8,192.168.7.205,40652,213.180.204.183,80,truncated_tcp_payload,-,F,zeek,TCP
1762171162.467976,Cm9lB51UbqxGA0VLP2,192.168.7.101,52212,20.44.10.122,443,truncated_tcp_payload,-,F,zeek,TCP
1762171162.545045,CC2cwu12Xj9Ad92I47,192.168.7.101,57664,184.51.252.58,443,window_recision,-,F,zeek,-
1762171176.508909,C1p8YQLNX3QzRw2xi,192.168.7.101,49831,2.19.205.64,443,window_recision,-,F,zeek,-
1762171176.566255,C9CIVg4jag0SFVcFE6,192.168.7.101,64532,184.51.252.6,443,window_recision,-,F,zeek,-
1762171206.352746,CYVCX81TgnmMLFbDGg,192.168.7.101,61611,184.51.252.58,443,window_recision,-,F,zeek,-
1762171307.399086,CT277WWGebxrRfRT8,192.168.7.101,55112,184.51.252.46,443,window_recision,-,F,zeek,-
1762171569.581773,CJZXdf38JiZTJVijJb,192.168.7.101,52719,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762171811.441999,CvLjSj4UCYr0UezBS9,192.168.7.101,52111,149.154.167.222,443,truncated_tcp_payload,-,F,zeek,TCP
1762171860.431220,Cad6cZ35cGViOgrrWb,192.168.7.101,56547,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762171910.050739,Cpdup92BuiP0xSqIYk,192.168.7.101,63202,91.105.192.100,443,truncated_tcp_payload,-,F,zeek,TCP
1762171910.068844,C6IT0c1K0M7K8OzwTk,192.168.7.101,52113,91.105.192.100,443,truncated_tcp_payload,-,F,zeek,TCP
1762172179.234045,COX53h3Dl44DSQpti8,192.168.7.101,52835,65.9.86.59,443,truncated_tcp_payload,-,F,zeek,TCP
1762172271.796317,CbtvFBZnP9vpzEvr7,192.168.7.101,55138,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762172463.251201,C1jhIl1Ddsp6W2H8di,192.168.7.101,52156,91.105.192.100,443,truncated_tcp_payload,-,F,zeek,TCP
1762172680.695102,CDGP6UkTXHQK8a0qj,192.168.7.101,53212,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762172725.890193,C9XSo11QdqZWTvheb1,192.168.7.101,59274,184.51.252.42,443,window_recision,-,F,zeek,-
1762172725.891183,CIZwIg1AriNj9iFjWg,192.168.7.101,63093,184.51.252.42,443,window_recision,-,F,zeek,-
1762172726.138037,CPQce01ixd6RBDvhU9,192.168.7.101,58544,20.189.173.23,443,truncated_tcp_payload,-,F,zeek,TCP
1762172739.351597,Cr3Szn2J5q3YkZh1b3,192.168.7.101,49600,2.19.205.82,443,window_recision,-,F,zeek,-
1762173123.630075,C05xeP2gIsV59PY0x7,192.168.7.101,63202,91.105.192.100,443,truncated_tcp_payload,-,F,zeek,TCP
1762173123.636460,CDzB0MVRfddK7QYRh,192.168.7.101,63062,91.105.192.100,443,truncated_tcp_payload,-,F,zeek,TCP
1762173180.203452,C5BZB83AZTCahMG2j,192.168.7.101,63069,2.19.205.67,443,window_recision,-,F,zeek,-
1762173180.279788,CxLdGgQtWMTRiyLIj,192.168.7.101,60163,184.51.252.20,443,window_recision,-,F,zeek,-
1762173181.144900,CeLs3l4JWV2BmXSEn,192.168.7.101,49244,104.208.16.91,443,truncated_tcp_payload,-,F,zeek,TCP
1762173296.026608,CDGP6UkTXHQK8a0qj,192.168.7.101,53212,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762173418.414937,C0FBYc1JyXXi5hy72a,192.168.7.101,58867,184.51.252.5,443,window_recision,-,F,zeek,-
1762173437.427932,CpO4GC1kJSXzNCoww,192.168.7.101,59467,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762173615.132102,CUlQ9g2ZaCc1qU0T8c,192.168.7.101,54484,18.172.112.69,443,truncated_tcp_payload,-,F,zeek,TCP
1762173629.982536,CQ0VtH2Eal5dRkVSyi,192.168.7.101,58780,212.188.77.140,443,truncated_tcp_payload,-,F,zeek,TCP
1762173794.956244,CwcBVd3FJuo4Accgzk,192.168.7.101,55645,184.51.88.69,443,truncated_tcp_payload,-,F,zeek,TCP
1762173862.287596,C6DhxQyKepqXpnzD2,192.168.7.101,50307,40.114.177.156,443,truncated_tcp_payload,-,F,zeek,TCP
1762173864.449423,CAkCbL14vjXGasN729,192.168.7.101,55783,176.114.120.24,443,truncated_tcp_payload,-,F,zeek,TCP
1762173864.704507,CqtCb026roZkSRiP15,192.168.7.101,56043,95.181.182.182,443,truncated_tcp_payload,-,F,zeek,TCP
1762173865.072877,CSuAqb1W7B1EhFtTzf,192.168.7.101,58024,95.181.182.182,443,truncated_tcp_payload,-,F,zeek,TCP
1762173866.665602,Cd8uMIBMiiJRNoq6h,192.168.7.101,63125,95.181.182.182,443,truncated_tcp_payload,-,F,zeek,TCP
1762173866.712246,CI8Q8q2CH6kNShrdOa,192.168.7.101,51931,95.181.182.182,443,truncated_tcp_payload,-,F,zeek,TCP
1762173866.759988,CwUIkR3al0QIeOkKkd,fd50:75fd:c988:0:50be:4ba3:982:3b13,49641,fd50:75fd:c988::1,53,premature_connection_reuse,-,F,zeek,TCP
1762173866.882917,C8glcLDu5k4TGbWIf,192.168.7.101,53172,184.51.252.21,443,window_recision,-,F,zeek,-
1762173867.265442,CJm4Sd3moXDAsLV9wg,192.168.7.101,54686,176.114.120.2,443,truncated_tcp_payload,-,F,zeek,TCP
1762173878.578687,CB2FPJ3N6cFh0k9G6a,192.168.7.101,50874,184.51.252.14,443,window_recision,-,F,zeek,-
1762174005.283315,ClwLR73qsLcRvmBRcl,192.168.7.101,51145,142.250.186.150,443,truncated_tcp_payload,-,F,zeek,TCP
1762174050.096560,CpO4GC1kJSXzNCoww,192.168.7.101,59467,74.125.4.68,443,truncated_tcp_payload,-,F,zeek,TCP
1762174193.151266,ClzrFw3bdCqEZJOeZh,192.168.7.101,52038,184.51.252.10,443,window_recision,-,F,zeek,-
1762174193.152351,CtX14G3dVpu8hRErJj,192.168.7.101,65526,184.51.252.10,443,window_recision,-,F,zeek,-
1762174193.367334,Cz3NEt4NlDj6qsft5b,192.168.7.101,53956,20.42.73.25,443,truncated_tcp_payload,-,F,zeek,TCP
1762174196.679613,C5SiDHgshXdfQeKAb,192.168.7.101,59943,37.9.64.225,443,truncated_tcp_payload,-,F,zeek,TCP
