ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert,validation_status
1762174987.933870,C0V2js1Jkd6R9bhtDe,192.168.7.101,63997,2.19.205.82,443,-,-,-,assets.msn.com,F,-,-,F,C,-,-,-,-
1762175133.250225,CUyRQk18GXrqJ1poEe,192.168.7.101,55861,2.19.204.16,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-,-
1762175133.284749,C8CMeVY3Cqr0t4op,192.168.7.101,58053,2.19.204.16,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,assets.msn.com,F,-,-,T,CsiI,-,-,-,-
1762175133.317756,CxIKx34KmRP5X2qWS6,192.168.7.101,57359,18.244.18.38,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,sb.scorecardresearch.com,F,-,-,T,CsiI,-,-,-,-
1762175133.339851,CiTMia4KF8cJiwIKU9,192.168.7.101,51827,13.107.213.44,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,c.msn.com,F,-,-,T,CjiICs,-,-,-,-
1762175135.205034,C1OSZWmFQjqSjxcV1,192.168.7.101,63024,52.182.143.211,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,browser.events.data.msn.com,F,-,-,T,CjiICs,-,-,-,-
1762175139.240899,CzcxCh2MNuOyWPNkIa,192.168.7.101,55687,40.114.178.124,443,TLSv13,TLS_AES_256_GCM_SHA384,X25519MLKEM768,staticcdn.duckduckgo.com,T,-,-,T,CsiI,-,-,-,-
1762175133.590511,CWy40n1pcWhcITg2k1,192.168.7.101,62937,150.171.27.10,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,c.bing.com,F,-,-,F,CjiICs,-,-,-,-
1762175134.099159,C0TlJk3CeDNrGhucKl,192.168.7.101,61310,52.182.143.211,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,browser.events.data.msn.com,F,-,-,F,CjiIC,-,-,-,-
1762175134.399522,CbDZrF1aqV18kiFmd2,192.168.7.101,52874,52.182.143.211,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,browser.events.data.msn.com,F,-,-,F,Cji,-,-,-,-
1762175155.170683,Ctqhjs40KzhYnqrIE3,192.168.7.101,49883,173.194.190.168,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,rr3---sn-25ge7nsk.googlevideo.com,F,-,-,T,CsiI,-,-,-,-
1762175165.211980,COUQGk30yxSqV9cLYc,192.168.7.101,51882,173.194.0.230,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,rr1---sn-25ge7nzd.googlevideo.com,T,-,-,T,CsiI,-,-,-,-
1762175161.529258,CYlD2c2nFb0udakxBj,192.168.7.101,61662,20.189.173.6,443,-,-,-,v10.events.data.microsoft.com,F,-,-,F,C,-,-,-,-
1762175170.279234,CgfMuH2RqGXdGUZlB7,192.168.7.101,55401,2.18.197.221,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,store.steampowered.com,T,-,-,T,CsiI,-,-,-,-
1762175134.399278,CzqtoS1mHPZ25Xoyz,192.168.7.101,55553,52.182.143.211,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,browser.events.data.msn.com,F,-,-,F,CjiICs,-,-,-,-
